ID,name,type,sex,age,party,representation,position,state
MP,Matthias Platzeck,0,2,4,1,1,1,1
RP,Ronald Pofalla,0,2,4,2,1,1,2
BP,Barbara Praetorius,0,1,NA,NA,4,1,3
STI,Stanislaw Tillich,0,2,4,2,1,1,4
GH,Gerda Hasselfeldt,0,1,4,2,1,2,5
SKAM,Steffen Kampeter,0,2,3,2,2,2,2
SKAPF,Stefan Kapferer,0,2,3,3,2,2,NA
DK,Dieter Kempf,0,2,4,NA,2,2,NA
CN,Claudia Nemat,0,1,3,NA,2,2,NA
KR,Katherina Reiche,0,1,2,2,2,2,1
GR,Gunda Roestel,0,1,3,4,2,2,4
ES,Eric Schweitzer,0,2,3,3,2,2,3
AG,Antje Grothus,0,1,NA,NA,5,2,6
HW,Hannelore Wodtke,0,1,NA,2,5,2,1
CH,Christine Herntier,0,1,4,NA,5,2,1
MK,Michael Kreuzberg,0,2,4,2,5,2,2
RPRIG,Reiner Priggen,0,2,4,4,5,2,2
MV,Michael Vassiliadis,0,2,3,1,3,2,NA
AS,Andreas Scheidt,0,2,3,1,3,2,2
SK,Stefan Koerzell,0,2,3,1,3,2,7
MKAI,Martin Kaiser,0,2,3,NA,4,2,NA
HWEIG,Hubert Weiger,0,2,5,NA,4,2,NA
KN,Kai Niebert,0,2,1,NA,4,2,NA
JA,Jutta Allmendinger,0,1,4,NA,6,2,3
FMA,Felix Matthes,0,2,3,NA,6,2,3
HJS,Hans Joachim Schellnhuber,0,2,4,NA,6,2,1
AN,Annekathrin Niebuhr,0,1,NA,NA,6,2,8
RW,Ralf Wehrspohn,0,2,2,NA,6,2,9
AL,Andreas LAEmmel,0,2,3,1,2,3,4
ALENZ,Andreas Lenz,0,2,1,2,2,3,5
MM,Matthias Miersch,0,2,2,1,4,3,10
SPD,SPD,1,NA,NA,1,1,NA,NA
DRF,Deutsch Russisches Forum,1,NA,NA,NA,NA,NA,NA
BSPD,Bundes-SPD,1,NA,NA,1,NA,NA,1
DB,Deutsche Bahn,1,NA,NA,NA,NA,NA,NA
CDU,CDU,1,NA,NA,2,1,NA,NA
AM,Angela Merkel,0,1,4,2,1,NA,3
BKA,Bundeskanzleramt,1,NA,NA,NA,1,NA,NA
HFTUW,Hochschule fuer Technik und Wirtschaft,1,NA,NA,NA,2,NA,NA
TAE,Thinktanks Agora Energiewende,1,NA,NA,NA,4,NA,NA
MIBRAG,MIBRAG,1,NA,NA,NA,NA,NA,NA
DRK,Deutsches Rotes Kreuz,1,NA,NA,NA,NA,NA,NA
CSU,CSU,1,NA,NA,2,1,NA,NA
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbaende,1,NA,NA,NA,2,NA,NA
FM,Finanzministerium,1,NA,NA,NA,2,NA,NA
BDEW,Bundesverbands der Energie- und Wasserwirtschaft,1,NA,NA,NA,4,NA,NA
FDP,FDP,1,NA,NA,3,1,NA,NA
BDI,Bundesverband der Deutschen Industrie,1,NA,NA,NA,2,NA,NA
DATEV,DATEV eG,1,NA,NA,NA,2,NA,NA
HRHA,Hochschulrat der Hochschule Ansbach,1,NA,NA,NA,6,NA,NA
CS,Cyber-Sicherheitsrat,1,NA,NA,NA,2,NA,NA
ADAG,Aufsichtsrat der Deutschen AG,1,NA,NA,NA,2,NA,NA
GVB,Verband der Genossenschaftsverbaende Bayern,1,NA,NA,NA,3,NA,NA
TEKOM,Telekom,1,NA,NA,NA,2,NA,NA
MCK,McKinsey,1,NA,NA,NA,2,NA,NA
VKU,Verband Kommunaler Unternehmen,1,NA,NA,NA,2,NA,NA
SED,Stadtentwaesserung Dresden,1,NA,NA,NA,5,NA,NA
ENBW,ENBW,1,NA,NA,NA,2,NA,NA
GRUENE,Gruene ,1,NA,NA,4,1,NA,NA
DIHT,Deutscher Industrie- und Handwerkskammertag,1,NA,NA,NA,2,NA,NA
EA,Entsorgungskonzern Alba,1,NA,NA,NA,2,NA,NA
IBFB,"Initiative ""Buirer fuer Buir""",1,NA,NA,NA,5,NA,NA
KWSB,"Kommission fUEr Wachstum, Strukturwandel und Beschaeftigung",1,NA,NA,NA,1,NA,NA
GZW,GrUEne Zukunft Welzow ,1,NA,NA,NA,5,NA,NA
NWBG,Netzwerk Bergbaugeschaedigte,1,NA,NA,NA,3,NA,NA
ST,Spremberger Tuche,1,NA,NA,NA,5,NA,NA
REK,Rhein-Erft-Kreis,1,NA,NA,NA,5,NA,NA
LEE,Landesverbandes ErneUErbare Energien,1,NA,NA,NA,5,NA,NA
IGBCE,"Industriegewerkschaft Bergbau, Chemie, Energie",1,NA,NA,NA,3,NA,NA
VERDI,Verdi,1,NA,NA,NA,3,NA,NA
EON,Energiekonzern Eon,1,NA,NA,NA,3,NA,NA
DGB,Deutscher Gewerkschaftsbund,1,NA,NA,NA,3,NA,NA
GP,Greenpeace,1,NA,NA,NA,4,NA,NA
BUND,Bund fUEr Umwelt und Naturschutz Deutschland ,1,NA,NA,NA,4,NA,NA
RNE,Rat fUEr Nachhaltige Entwicklung,1,NA,NA,NA,4,NA,NA
DN,Deutschen Naturschutzakademie,1,NA,NA,NA,4,NA,NA
DDA,Dachverband Deutscher Naturschutzring,1,NA,NA,NA,4,NA,NA
ND,Naturfreunde Deutschland,1,NA,NA,NA,4,NA,NA
DU,Deutsche Umweltstiftung,1,NA,NA,NA,4,NA,NA
NBGE,Nationales Begleitgremium zur Endlagersuche,1,NA,NA,NA,4,NA,NA
WZB,Wissenschaftszentrum Berlin fUEr Sozialforschung,1,NA,NA,NA,6,NA,NA
BHU,Berliner Humboldt-Universitaet,1,NA,NA,NA,6,NA,NA
DGS,Deutschen Gesellschaft fUEr Soziologie,1,NA,NA,NA,6,NA,NA
OEI,Oeko-Institut,1,NA,NA,NA,4,NA,NA
PIK,Potsdam-Institut fuer Klimaforschung,1,NA,NA,NA,6,NA,NA
SRC,Stockholm Resilience Centre,1,NA,NA,NA,6,NA,NA
WBGU,Wissenschaftlichen Beirat der Bundesregierung fUEr Globale Umweltveraenderungen,1,NA,NA,NA,6,NA,NA
WIPCC,Weltklimarats IPCC,1,NA,NA,NA,4,NA,NA
UK,Uni Kiel,1,NA,NA,NA,6,NA,NA
FI,Frauenhofer-Institut Halle an der Saale,1,NA,NA,NA,6,NA,NA
MLU,Martin-Luther-Universitaet,1,NA,NA,NA,6,NA,NA
PKM,Parlamentskreises Mittelstand,1,NA,NA,NA,1,NA,NA
AWE,Ausschuss fUEr Wirtschaft und Energie,1,NA,NA,NA,2,NA,NA
BT,Bundestag,1,NA,NA,NA,1,NA,NA
KK,Kohlekommission,1,NA,NA,NA,NA,NA,NA
